Plate, 3
Well, 1
Count, 220
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.841, 0.000 to 19.683, 0
29.524, 19.683 to 39.366, 0
49.207, 39.366 to 59.049, 0
68.890, 59.049 to 78.732, 0
88.573, 78.732 to 98.414, 0
108.256, 98.414 to 118.097, 0
127.939, 118.097 to 137.780, 0
147.622, 137.780 to 157.463, 0
167.305, 157.463 to 177.146, 1
186.988, 177.146 to 196.829, 1
206.670, 196.829 to 216.512, 0
226.353, 216.512 to 236.195, 6
246.036, 236.195 to 255.878, 1
265.719, 255.878 to 275.561, 4
285.402, 275.561 to 295.243, 6
305.085, 295.243 to 314.926, 9
324.768, 314.926 to 334.609, 16
344.451, 334.609 to 354.292, 44
364.134, 354.292 to 373.975, 14
383.817, 373.975 to 393.658, 18
403.499, 393.658 to 413.341, 6
423.182, 413.341 to 433.024, 10
442.865, 433.024 to 452.707, 18
462.548, 452.707 to 472.390, 8
482.231, 472.390 to 492.072, 10
501.914, 492.072 to 511.755, 8
521.597, 511.755 to 531.438, 8
541.280, 531.438 to 551.121, 6
560.963, 551.121 to 570.804, 5
580.646, 570.804 to 590.487, 3
600.328, 590.487 to 610.170, 4
620.011, 610.170 to 629.853, 2
639.694, 629.853 to 649.536, 3
659.377, 649.536 to 669.219, 1
679.060, 669.219 to 688.901, 2
698.743, 688.901 to 708.584, 0
718.426, 708.584 to 728.267, 1
738.109, 728.267 to 747.950, 0
757.792, 747.950 to 767.633, 1
777.475, 767.633 to 787.316, 1
797.157, 787.316 to 806.999, 0
816.840, 806.999 to 826.682, 1
836.523, 826.682 to 846.365, 0
856.206, 846.365 to 866.048, 1
875.889, 866.048 to 885.730, 0
895.572, 885.730 to 905.413, 0
915.255, 905.413 to 925.096, 0
934.938, 925.096 to 944.779, 0
954.621, 944.779 to 964.462, 0
974.304, 964.462 to 984.145, 1


Plate, 3
Well, 2
Count, 210
CHARM Settings 1:		unsaved settings

Type 1 Histograms
Diameter (um), Range, frequency
9.568, 0.000 to 19.137, 0
28.705, 19.137 to 38.273, 0
47.842, 38.273 to 57.410, 0
66.978, 57.410 to 76.547, 0
86.115, 76.547 to 95.683, 0
